platform,title,clean_item_label,item_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,price,row_count,first_date,last_date,source_files,latest_imported_at,surface,recency_basis,grain,allocation_method
Curvage,Cursed Cake Makes Greedy Co-worker Explode,Cursed Cake Makes Greedy Co-worker Explode,63618,269,11024.39,8179.45,40.98,30.41,27.99,112,2025-07-21,2026-06-30,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Nightmare Thanksgiving guest eats all the food! 🦃🤤,Nightmare Thanksgiving guest eats all the food! 🦃🤤,68878,146,6626.66,4919.57,45.39,33.7,31.99,60,2025-12-02,2026-06-30,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Sexy fatty gobbles a dozen ice cream sandwiches!,Sexy fatty gobbles a dozen ice cream sandwiches!,33057,112,5011.35,3715.63,44.74,33.18,8.99,77,2023-06-01,2026-06-19,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing tacos makes me burp and fart! 🌮💨,Stuffing tacos makes me burp and fart! 🌮💨,60064,76,4159.26,3083.93,54.73,40.58,34.99,56,2025-04-17,2026-07-03,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing and making out with your feedee 🤤🍗,Stuffing and making out with your feedee 🤤🍗,48622,74,3833.77,2846.24,51.81,38.46,24.99,58,2024-07-03,2026-06-15,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Thanksgiving stuffing and a cigarette! 🦃🚬,Thanksgiving stuffing and a cigarette! 🦃🚬,54801,68,3100.12,2298.6,45.59,33.8,29.99,41,2024-11-30,2026-06-29,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,New weigh-in and measurements! 😍,New weigh-in and measurements! 😍,56046,64,2878.18,2134.08,44.97,33.34,34.99,34,2025-01-05,2026-06-12,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Pills make me grow until I pop 💊🍗🎈,Pills make me grow until I pop 💊🍗🎈,72067,161,2848.04,2122.01,17.69,13.18,14.99,53,2026-02-23,2026-07-01,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Greedy girlfriend stuffs her face and vores you! 🤤🍔,Greedy girlfriend stuffs her face and vores you! 🤤🍔,56366,87,2813.34,2085.98,32.34,23.98,21.99,63,2025-01-13,2026-06-29,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,55,2677.04,1984.86,48.67,36.09,10.99,39,2023-01-18,2026-07-02,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
