platform,surface,item_id,label,canonical_content_id,canonical_title,content_group,mapping_status,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,sales,gross,net,source_file
ManyVids,ManyVids transaction,,SSBBW Shiny Slippery Oil Play,Video 0184,SSBBW Shiny Slippery Oil Play,Video,mapped,2026-06-08,2026-06-08,2023-06-13,master content release date,high,sale date,canonical transaction row,1.0,16.983333333333334,10.19,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,SSBBW Jiggles Fat for Your Cum Part 2,Video 0257,Cum for My Fat Part 2,Video,mapped,2026-06-08,2026-06-08,2024-12-11,master content release date,high,sale date,canonical transaction row,1.0,16.983333333333334,10.19,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Your SSBBW Wife Denies Getting Fatter POV,Video 0232,Your Wife Accidentally Gains,Video,mapped,2026-06-07,2026-06-07,2024-05-06,master content release date,high,sale date,canonical transaction row,1.0,21.983333333333334,13.19,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Feedee BBW Wants to Stop Gaining POV,Video 0146,Feedee BBW Wants to Stop Gaining POV,Video,mapped,2026-06-07,2026-06-07,2021-09-23,master content release date,high,sale date,canonical transaction row,1.0,15.983333333333334,9.59,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Gassy SSBBW Ignores You and Stuffs,Video 0276,Hungry Girlfriend Ignores You,Video,mapped,2026-06-05,2026-06-05,2025-10-18,master content release date,high,sale date,canonical transaction row,1.0,15.983333333333334,9.59,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Best Friend's Step-Mom Shows You How to Please SSBBW,Video 0289,Best Friend's Mom Teases You,Video,mapped,2026-06-04,2026-06-04,2026-05-21,master content release date,high,sale date,canonical transaction row,1.0,27.983333333333334,16.79,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,SSBBW Ex Wants to Get Pregnant,Video 0249,SSBBW Ex Wants to Get Pregnant,Video,mapped,2026-06-04,2026-06-04,2024-10-27,master content release date,high,sale date,canonical transaction row,1.0,13.983333333333334,8.39,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Fatty Cums in Fishnet Dress,Video 0042,Lady in Black,Video,mapped,2026-06-04,2026-06-04,2019-03-21,master content release date,high,sale date,canonical transaction row,1.0,4.983333333333334,2.99,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Obese GF Wants V-Day Dick,Video 0041,I Need V-day Dick,Video,mapped,2026-06-04,2026-06-04,2019-02-18,master content release date,high,sale date,canonical transaction row,1.0,4.983333333333334,2.99,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Fattened Up For Master Part II,Video 0099,Fattened Up For Master Part II,Video,mapped,2026-06-04,2026-06-04,2020-08-05,master content release date,high,sale date,canonical transaction row,1.0,19.983333333333334,11.99,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Fatty in the Shower,Video 0069,Fatty in the Shower,Video,mapped,2026-06-04,2026-06-04,2020-01-14,master content release date,high,sale date,canonical transaction row,1.0,9.983333333333334,5.99,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,BBW Covered in Oil - Full Nude Version,exact-title:bbw-covered-in-oil-full-nude-version,BBW Covered in Oil - Full Nude Version,Video,auto exact-title,2026-06-04,2026-06-04,2026-06-04,sale date,low,sale date,canonical transaction row,1.0,7.983333333333333,4.79,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,BBW Body Jiggles in the Pool,Video 0125,Underwater Body Jiggle,Video,mapped,2026-06-04,2026-06-04,2021-03-14,master content release date,high,sale date,canonical transaction row,1.0,13.983333333333334,8.39,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Creamy BBW Pussy Begs for Your Load,Video 0049,Sexy Soft Curves,Video,mapped,2026-06-04,2026-06-04,2019-07-26,master content release date,high,sale date,canonical transaction row,1.0,4.983333333333334,2.99,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Creampie My Fat Creamy Pussy,Video 0126,Creampie My Pussy,Video,mapped,2026-06-04,2026-06-04,2021-03-25,master content release date,high,sale date,canonical transaction row,1.0,16.983333333333334,10.19,2026-06-09_18-40-33_manyvids_clipboard.txt
ManyVids,ManyVids transaction,,Fat Dorothy Fucks You to Get to Kansas,Video 0059,Not in Kansas,Video,mapped,2026-06-04,2026-06-04,2019-11-01,master content release date,high,sale date,canonical transaction row,1.0,4.983333333333334,2.99,2026-06-09_18-40-33_manyvids_clipboard.txt
